build ID,commit,prev commit,time,file change,is test run,tests
438866,e0a2c4b3011179c618450577388ec29a6807e517#4d3c73b1a02a59416b246e87c58931d21c438e08#12494dc2c35df54c26fff91d34acea0f428c2b2f#ecea540ec783ccff6682ed23437042b7a96f3f94#4d2e0d8a7d4956675913f5e4946c521c70fe447d#dba2cbd0ee630dc95dffa71309b4ffc6060462b5#79ded54e9cc031a07410e86574eaccd7571e6240#98b2b293c19c06e009e6fed827cc399e16441e28#21388f21039cfe36737e1bfc2d91063fc998ec48#20ae42dcc09ae3a5b295518f3cb4e67abc296532#7e20616fe623da4cddf42b5b2db8dfb49ff884d2#c0ba3e2946ace0b50890c49788cd47feaafd4897#d553ee653b48ecc917f1157cb70655ee05b3847f#cfd976e2ed6d783a2914edae3ec9de91a7a8a719#96bdd46552741c34f4322987e47c243be653d48d#559b42abb545b3e3fc946349ccf9c7bb6b42cd80#b73ff3100f26dbe878f7af11f8d2dea65d4e7a9e,0692e71#a5fb18d,2011-12-22 22:49:29,CHANGELOG.md#README.md#middleman-x86-mingw32.gemspec#middleman.gemspec#bin/middleman#features/nested_layouts.feature#fixtures/nested-layout-app/config.rb#fixtures/nested-layout-app/source/index.html.erb#fixtures/nested-layout-app/source/layouts/inner.erb#fixtures/nested-layout-app/source/layouts/master.erb#fixtures/nested-layout-app/source/layouts/outer.erb#lib/middleman/cli/server.rb#lib/middleman/core_extensions/rendering.rb#lib/middleman/guard.rb#lib/middleman/base.rb#lib/middleman/core_extensions/builder.rb#lib/middleman/core_extensions/default_helpers.rb#lib/middleman/core_extensions/extensions.rb#lib/middleman/core_extensions/file_watcher.rb#lib/middleman/core_extensions/front_matter.rb#lib/middleman/version.rb#.travis.yml#lib/middleman/cli.rb#features/builder.feature#features/cli.feature#fixtures/3rd-party-command/config.rb#lib/middleman.rb#lib/middleman/cli/build.rb#lib/middleman/cli/templates.rb → lib/middleman/cli/init.rb#features/3rd_party_cli.feature#features/coffee-script.feature#lib/middleman/core_extensions/sprockets.rb#.yardopts#lib/middleman/core_extensions/assets.rb#lib/middleman/core_extensions/compass.rb#lib/middleman/core_extensions/data.rb,False,
438872,e0a2c4b3011179c618450577388ec29a6807e517#4d3c73b1a02a59416b246e87c58931d21c438e08#12494dc2c35df54c26fff91d34acea0f428c2b2f#ecea540ec783ccff6682ed23437042b7a96f3f94#4d2e0d8a7d4956675913f5e4946c521c70fe447d#dba2cbd0ee630dc95dffa71309b4ffc6060462b5#79ded54e9cc031a07410e86574eaccd7571e6240#98b2b293c19c06e009e6fed827cc399e16441e28#21388f21039cfe36737e1bfc2d91063fc998ec48#20ae42dcc09ae3a5b295518f3cb4e67abc296532#7e20616fe623da4cddf42b5b2db8dfb49ff884d2#c0ba3e2946ace0b50890c49788cd47feaafd4897#d553ee653b48ecc917f1157cb70655ee05b3847f#cfd976e2ed6d783a2914edae3ec9de91a7a8a719#96bdd46552741c34f4322987e47c243be653d48d#559b42abb545b3e3fc946349ccf9c7bb6b42cd80#b73ff3100f26dbe878f7af11f8d2dea65d4e7a9e,0692e71#a5fb18d,2011-12-22 22:51:21,CHANGELOG.md#README.md#middleman-x86-mingw32.gemspec#middleman.gemspec#bin/middleman#features/nested_layouts.feature#fixtures/nested-layout-app/config.rb#fixtures/nested-layout-app/source/index.html.erb#fixtures/nested-layout-app/source/layouts/inner.erb#fixtures/nested-layout-app/source/layouts/master.erb#fixtures/nested-layout-app/source/layouts/outer.erb#lib/middleman/cli/server.rb#lib/middleman/core_extensions/rendering.rb#lib/middleman/guard.rb#lib/middleman/base.rb#lib/middleman/core_extensions/builder.rb#lib/middleman/core_extensions/default_helpers.rb#lib/middleman/core_extensions/extensions.rb#lib/middleman/core_extensions/file_watcher.rb#lib/middleman/core_extensions/front_matter.rb#lib/middleman/version.rb#.travis.yml#lib/middleman/cli.rb#features/builder.feature#features/cli.feature#fixtures/3rd-party-command/config.rb#lib/middleman.rb#lib/middleman/cli/build.rb#lib/middleman/cli/templates.rb → lib/middleman/cli/init.rb#features/3rd_party_cli.feature#features/coffee-script.feature#lib/middleman/core_extensions/sprockets.rb#.yardopts#lib/middleman/core_extensions/assets.rb#lib/middleman/core_extensions/compass.rb#lib/middleman/core_extensions/data.rb,False,
439839,4f78ecf367b98b897bd5a5e16cda503a9ce41106#3a5fc69a7140d94258ae0c567916f77cf608330f,e0a2c4b#24664e4,2011-12-23 05:19:59,bin/middleman#features/builder.feature#features/nested_layouts.feature#fixtures/empty-app/not-config.rb#fixtures/nested-layout-app/source/data-one.html.erb#lib/middleman/core_extensions/front_matter.rb#lib/middleman/sitemap/template.rb#fixtures/nested-layout-app/source/data-two.html.erb#fixtures/nested-layout-app/source/layouts/master.erb#lib/middleman/extensions/sitemap_tree.rb,False,
441490,82cd984a29a4c52cb0698ef17efdd6719be1cca9#557aae372bc73a2b7a3aa89047a5d2465d25435d,4f78ecf,2011-12-23 18:59:07,features/cli.feature#features/generator.feature#lib/middleman/step_definitions.rb#lib/middleman/step_definitions/generator_steps.rb#lib/middleman/templates/default.rb#lib/middleman/templates/default/source/images/background.png#lib/middleman/templates/default/source/images/middleman.png#lib/middleman/templates/default/source/index.html.erb#lib/middleman/templates/default/source/javascripts/all.js#lib/middleman/templates/default/source/layout.erb#lib/middleman/templates/default/source/layouts/layout.erb#lib/middleman/templates/default/source/stylesheets/_animate.scss,False,
441719,488fa579f97a2a0e296d0794d10c152d250a8b81,82cd984,2011-12-23 20:04:47,features/sitemap_traversal.features#fixtures/traversal-app/config.rb#fixtures/traversal-app/source/index.html.erb#fixtures/traversal-app/source/layout.erb#fixtures/traversal-app/source/proxied.html.erb#fixtures/traversal-app/source/root.html.erb#fixtures/traversal-app/source/sub/index.html.erb#fixtures/traversal-app/source/sub/sibling.html.erb#fixtures/traversal-app/source/sub/sibling2.html.erb#fixtures/traversal-app/source/sub/sub2/index.html.erb#fixtures/traversal-app/source/sub/sub3/deep.html.erb#lib/middleman.rb#lib/middleman/base.rb#lib/middleman/core_extensions/sitemap.rb#lib/middleman/extensions/sitemap_tree.rb#lib/middleman/guard.rb#lib/middleman/sitemap/page.rb,False,
442013,5b53be6283630323eed0f83dfd61d6abdabf2490,488fa57,2011-12-23 22:14:20,lib/middleman/version.rb,False,
442117,75fba6aa54899ce69c3709dadb0080dce086a465,5b53be6,2011-12-23 22:53:09,CHANGELOG.md#features/helpers_lorem.feature#fixtures/test-app/source/lorem.html.erb#lib/middleman/extensions/lorem.rb,False,
444330,c3f501913d6faab11c9c2becc88357f54db64a46,75fba6a,2011-12-24 20:26:35,CHANGELOG.md#bin/middleman#lib/middleman.rb#lib/middleman/base.rb#lib/middleman/cli/build.rb#lib/middleman/cli/server.rb#lib/middleman/sitemap/template.rb,False,
444339,d04a8b5052a2c0a7d7d081e6f1a79077f76c4572,c3f5019,2011-12-24 20:27:17,lib/middleman/templates/default/source/layouts/layout.erb,False,
444698,dd8391be9399d86e01c5ab7b529c40e260a4375e,d04a8b5,2011-12-25 00:09:22,.travis.yml#lib/middleman.rb#lib/middleman/base.rb#lib/middleman/guard.rb,False,
